Time  CLK   Q              Name
   0   x    100000000000   W 57 1010111 
   1   0    010000000000   e 65 1100101
   2   1    001000000000   i 69 1101001
   3   0    000100000000   d 64 1100100
   4   1    000010000000   e 65 1100101
   5   0    000001000000     20 0100000
   6   1    000000100000   C 43 1000011
   7   0    000000010000   h 68 1101000
   8   1    000000001000   a 61 1100001
   9   0    000000000100   n 6e 1101110
  10   1    000000000010   g 67 1100111
  11   0    000000000001     20 0100000
  12   1    100000000000   W 57 1010111
  13   0    010000000000   e 65 1100101
  14   1    001000000000   i 69 1101001
  15   0    000100000000   d 64 1100100
  16   1    000010000000   e 65 1100101
  17   0    000001000000     20 0100000
  18   1    000000100000   C 43 1000011
  19   0    000000010000   h 68 1101000
  20   1    000000001000   a 61 1100001
  21   0    000000000100   n 6e 1101110
  22   1    000000000010   g 67 1100111
  23   0    000000000001     20 0100000
  24   1    100000000000   W 57 1010111
  25   0    010000000000   e 65 1100101
  26   1    001000000000   i 69 1101001
  27   0    000100000000   d 64 1100100
